description,label
"A colossal vessel with a flat top, where planes take off and land.",aircraft carrier
A floating airbase that dominates the seas and skies.,aircraft carrier
A massive warship designed to project air power at the heart of any maritime conflict.,aircraft carrier
"A supercarrier that hosts a parade of fighter jets, helicopters and support crews.",aircraft carrier
An immense seafaring vessel that towers above the waves and embodies American naval might.,aircraft carrier
A behemoth of steel and aircraft that delivers the ultimate military punch.,aircraft carrier
A giant floating airfield that operates in concert with a task force of warships.,aircraft carrier
A mobile and strategic naval platform capable of deploying air assets to any corner of the globe.,aircraft carrier
A leviathan of the seas that turns vast swathes of ocean into its hunting grounds.,aircraft carrier
A battleship designed exclusively for the launch and retrieval of fighter planes and helicopters.,aircraft carrier
A triumph of engineering that represents the pinnacle of modern naval warfare.,aircraft carrier
A formidable and towering colossus that rules the waves and dominates the sky.,aircraft carrier
A mighty and awe-inspiring ship that is the envy off all navies.,aircraft carrier
A symbol of power and technological achievement that is unrivaled among seaworthy craft.,aircraft carrier
A floating fortress of American military might that is feared and respected the world over.,aircraft carrier
"A ship of steel and state-of-the art weaponry, that projects naval strength across the world's oceans.",aircraft carrier
"A mobile military hub that carries an arsenal of jets and choppers, and can strike anywhere, anytime.",aircraft carrier
A sea monster that unleashes the fury of air power on enemy targets.,aircraft carrier
"A vessel of incredible size and complexity, that represents the ultimate in naval engineering.",aircraft carrier
"A veritable dreadnought of the ocean, that wields the power of the world's most advanced air force.",aircraft carrier
The floating runway of the sea.,aircraft carrier
A massive war machine with wings.,aircraft carrier
The steel fortress of the air.,aircraft carrier
A mobile airbase on the waves.,aircraft carrier
A flying arsenal on water.,aircraft carrier
A metal skyscraper at sea.,aircraft carrier
The naval queen of the sky.,aircraft carrier
A powerful platform for airpower.,aircraft carrier
The ultimate tool for projecting force.,aircraft carrier
A carrier of peace and power.,aircraft carrier
A mobile command center for air operations.,aircraft carrier
The beating heart of naval aviation.,aircraft carrier
A floating city of pilots and crew.,aircraft carrier
A giant vessel of flight and fight.,aircraft carrier
A strategic weapon of naval warfare.,aircraft carrier
The backbone of modern sea-based airpower.,aircraft carrier
A ship that brings the air war to the enemy.,aircraft carrier
A floating runway without boundaries.,aircraft carrier
A new breed of naval warship.,aircraft carrier
A modern-day colossus of the oceans.,aircraft carrier
"An immense vessel that dominates the ocean horizon, bristling with the latest military technology and able to launch an array of deadly aircraft.",aircraft carrier
"A floating fortress with a flat deck, angled at the end to allow fighter jets and other aircraft to take off and land smoothly.",aircraft carrier
"A massive warship designed to project power across the seas, carrying a complement of fast and powerful aircraft.",aircraft carrier
"A formidable military vessel designed to carry out long-range missions, with the ability to launch a variety of military crafts.",aircraft carrier
